DATE,thousand_megawatthours,source_key
2001-01-01,7,ELEC.GEN.SUN-US-99.M
2001-02-01,13,ELEC.GEN.SUN-US-99.M
2001-03-01,31,ELEC.GEN.SUN-US-99.M
2001-04-01,39,ELEC.GEN.SUN-US-99.M
2001-05-01,81,ELEC.GEN.SUN-US-99.M
2001-06-01,91,ELEC.GEN.SUN-US-99.M
2001-07-01,92,ELEC.GEN.SUN-US-99.M
2001-08-01,85,ELEC.GEN.SUN-US-99.M
2001-09-01,65,ELEC.GEN.SUN-US-99.M
2001-10-01,21,ELEC.GEN.SUN-US-99.M
2001-11-01,14,ELEC.GEN.SUN-US-99.M
2001-12-01,4,ELEC.GEN.SUN-US-99.M
2002-01-01,11,ELEC.GEN.SUN-US-99.M
2002-02-01,24,ELEC.GEN.SUN-US-99.M
2002-03-01,44,ELEC.GEN.SUN-US-99.M
2002-04-01,46,ELEC.GEN.SUN-US-99.M
2002-05-01,58,ELEC.GEN.SUN-US-99.M
2002-06-01,96,ELEC.GEN.SUN-US-99.M
2002-07-01,86,ELEC.GEN.SUN-US-99.M
2002-08-01,75,ELEC.GEN.SUN-US-99.M
2002-09-01,53,ELEC.GEN.SUN-US-99.M
2002-10-01,31,ELEC.GEN.SUN-US-99.M
2002-11-01,28,ELEC.GEN.SUN-US-99.M
2002-12-01,4,ELEC.GEN.SUN-US-99.M
2003-01-01,13,ELEC.GEN.SUN-US-99.M
2003-02-01,18,ELEC.GEN.SUN-US-99.M
2003-03-01,50,ELEC.GEN.SUN-US-99.M
2003-04-01,60,ELEC.GEN.SUN-US-99.M
2003-05-01,68,ELEC.GEN.SUN-US-99.M
2003-06-01,91,ELEC.GEN.SUN-US-99.M
2003-07-01,62,ELEC.GEN.SUN-US-99.M
2003-08-01,62,ELEC.GEN.SUN-US-99.M
2003-09-01,56,ELEC.GEN.SUN-US-99.M
2003-10-01,35,ELEC.GEN.SUN-US-99.M
2003-11-01,14,ELEC.GEN.SUN-US-99.M
2003-12-01,4,ELEC.GEN.SUN-US-99.M
2004-01-01,13,ELEC.GEN.SUN-US-99.M
2004-02-01,11,ELEC.GEN.SUN-US-99.M
2004-03-01,53,ELEC.GEN.SUN-US-99.M
2004-04-01,57,ELEC.GEN.SUN-US-99.M
2004-05-01,82,ELEC.GEN.SUN-US-99.M
2004-06-01,88,ELEC.GEN.SUN-US-99.M
2004-07-01,82,ELEC.GEN.SUN-US-99.M
2004-08-01,73,ELEC.GEN.SUN-US-99.M
2004-09-01,61,ELEC.GEN.SUN-US-99.M
2004-10-01,34,ELEC.GEN.SUN-US-99.M
2004-11-01,15,ELEC.GEN.SUN-US-99.M
2004-12-01,8,ELEC.GEN.SUN-US-99.M
2005-01-01,9,ELEC.GEN.SUN-US-99.M
2005-02-01,13,ELEC.GEN.SUN-US-99.M
2005-03-01,38,ELEC.GEN.SUN-US-99.M
2005-04-01,58,ELEC.GEN.SUN-US-99.M
2005-05-01,81,ELEC.GEN.SUN-US-99.M
2005-06-01,88,ELEC.GEN.SUN-US-99.M
2005-07-01,72,ELEC.GEN.SUN-US-99.M
2005-08-01,76,ELEC.GEN.SUN-US-99.M
2005-09-01,61,ELEC.GEN.SUN-US-99.M
